key	modern_en_sha256_16	original_da_sha256_16	served_slots
7.9	9ffe97572608366c	b485682e329b9ebc	7.10
7.10	3912827bed0e9aa9	61d3907b55b15e80	7.11
7.11	ed6e36d35f0222eb	ec162159d9562519	7.12
7.12	e026701ec5b6a7f8	9e5db74791316c70	7.13
7.13	84877bcfe0c6a594	3b428582a42428ce	7.14,7.15,7.16
7.14	3b6b70b345f6fc4c	c15e67d6875b1428	7.15,7.17,7.18
7.15	4851f60645abd5c8	cc53c663e4291cdc	7.19,7.20,7.21,7.23
7.16	f492a994357ae536	79ee6c10b9cf1220	7.22,7.24
7.17	e9801b2a7ceb4c58	4e9973f8d73f47f6	7.25,7.26
7.18	c951707265a5ef8a	8bb007b1a787bf26	7.27,7.28,7.29
7.19	2709c539992147f9	9160db601d4593d2	7.30
7.20	e28055872727bdc5	28b525fe08fbdea9	7.31
7.21	a80064755d3614b0	31bac109e22fa8b3	7.32
7.22	e1e658afd93a8230	13701c5292987a2d	7.33,7.34
7.23	1211d47ba98e830d	9f6e3c54043dc55b	7.34,7.36
7.24	d426c3a0334251e3	0bf7497e6ee1c2a6	7.35,7.37
7.25	604dc13227b1cfda	dabf4cd3de674a62	7.37,7.38,7.39
7.26	25620caa6d24b609	248c1abb53c12b55	7.40,7.41
7.27	a02a2a62e46c7d6b	6b58286638d556f8	7.42
7.28	e0fda9b5144b2eab	55b3b623c6585767	7.43,7.44
7.29	361e65c970addd38	80e353fa23aed69e	7.45
7.30	57c8d6bbf78b9843	cfba83a9688c0583	7.46
7.31	16cd0f50d2b20fd4	f577c92ca6fb8c5e	7.47,7.48,7.50
7.32	321c2aca139d0571	00d225e72dfc476a	7.49,7.51
7.33	82fe0594a3c9bcad	89f62ddc0c19cfeb	7.52
7.34	ac5e43a74bbad783	74de813f894b3b9e	7.53
7.35	669df078f5875da2	367b5904a6e53b7a	7.54,7.55
7.36	4a75feba3d343791	8afe6eef6c0d585a	7.56
7.37	43b52ed861b36c87	e3000ce3c599723c	7.57
7.38	b008783270d23019	4e9c440463220882	7.58
7.39	e0b9334955021071	5e4cae4b569e6303	7.59
7.40	3bd1f5090e19bdc3	7b3002c0cb6d8e10	7.60
7.41	f57e8a3df74fd7c8	e590631099452246	7.61,7.62
7.42	cf75a49df92eb4a8	a28ef72419af9d30	7.63
7.43	d3b7591751e3914c	928282682b5049be	7.64
7.44	078291657765ebba	194ea5b79aa0e9c2	7.65
7.45	e82a101c2fc8ca25	35148a0f308cd4a2	7.66
7.46	12acce3de67e9e59	e719383188fe5d94	7.67
7.47	b62e276661656381	3e02cfb8afb7ba85	7.68
7.48	9ff9974e3498c405	ab42e5110f191be9	7.69
7.49	002c8b4ee58f08bf	6bde125289bf58bb	7.70,7.71,7.72
7.50	aaf1dd58ebec927f	2f177b73589e01ad	7.73
7.51	76656aa73049497a	e8657b489398afff	7.74
7.52	1387bf8f425e091e	ed64b959770d4b62	7.75
7.53	2533e385fb4817ed	fa722fa6ea3a1453	7.76,7.77
7.54	e90023c73c175831	74b416c1cbde68e3	7.77,7.79
7.55	e37900865202e55f	84a4da9f11924756	7.78,7.80
7.56	56550d12a19a7c4e	c5d08e73339b483d	7.81,7.83
7.57	7e380ff9c308a954	37323b376e457253	7.82,7.84
7.58	071ffd8185fc98e3	2d4ab38ab306571f	7.85
7.59	762c10c89387101c	6e5d069d8f37e549	7.86
7.60	3b0e813eae79b5d8	3df68054c52011e5	7.87
8.0	2fb48a5cc78dab77	f40320ab6040d60c	8.0,8.1
8.1	3bf22eb6ecae0671	9d7ac48bd4c272ef	8.2
8.2	bf0b815b0c22b01e	ca71ede2380b3f7c	8.3
8.3	33b426d5516066ef	03e8839f63e8b351	8.4,8.5
